Time,Value
1707329450,208.64999389648438
1707329460,206.6999969482422
1707329470,210.60000610351562
1707329480,212.5500030517578
1707329490,208.64999389648438
1707329500,208.64999389648438
1707329510,208.64999389648438
1707329520,208.64999389648438
1707329530,208.64999389648438
1707329540,210.60000610351562
1707329550,206.6999969482422
1707329560,206.6999969482422
1707329570,210.60000610351562
1707329580,212.5500030517578
1707329590,210.60000610351562
1707329600,206.6999969482422
1707329610,206.6999969482422
1707329620,210.60000610351562
1707329630,208.64999389648438
1707329640,208.64999389648438
1707329650,206.6999969482422
1707329660,206.6999969482422
1707329670,216.4499969482422
1707329680,208.64999389648438
1707329690,210.60000610351562
1707329700,210.60000610351562
1707329710,210.60000610351562
1707329720,208.64999389648438
1707329730,210.60000610351562
1707329740,206.6999969482422
1707329750,204.75
1707329760,214.5
1707329770,212.5500030517578
1707329780,212.5500030517578
1707329790,206.6999969482422
1707329800,206.6999969482422
1707329810,204.75
1707329820,210.60000610351562
1707329830,212.5500030517578
1707329840,210.60000610351562
1707329850,208.64999389648438
1707329860,210.60000610351562
1707329870,206.6999969482422
1707329880,210.60000610351562
1707329890,208.64999389648438
1707329900,212.5500030517578
1707329910,208.64999389648438
1707329920,210.60000610351562
1707329930,206.6999969482422
1707329940,206.6999969482422
1707329950,210.60000610351562
1707329960,206.6999969482422
1707329970,206.6999969482422
1707329980,208.64999389648438
1707329990,204.75
1707330000,376.3500061035156
1707330010,362.70001220703125
1707330020,372.45001220703125
1707330030,370.5
1707330040,366.6000061035156
1707330050,376.3500061035156
1707330060,360.75
1707330070,358.79998779296875
1707330080,397.79998779296875
1707330090,386.1000061035156
1707330100,390.0
1707330110,405.6000061035156
1707330120,403.6499938964844
1707330130,401.70001220703125
1707330140,388.04998779296875
1707330150,374.3999938964844
1707330160,376.3500061035156
1707330170,378.29998779296875
1707330180,362.70001220703125
